Страна;Индекс качества жизни;Индекс безопасности;Индекс здравоохранения;Индекс стоимости жизни;Климатический индекс
Швейцария;190.82;78.65;74.47;131.75;80.05
Дания;190.01;73.28;79.96;91.67;81.80
Нидерланды;183.31;72.78;75.76;78.64;87.11
Финляндия;182.79;72.99;76.40;77.46;56.64
Австрия;182.37;74.77;78.40;75.49;77.79
Австралия;181.52;57.56;77.71;84.14;92.70
Исландия;179.10;75.87;65.69;96.77;68.81
Германия;176.76;64.58;73.77;70.62;82.97
Новая Зеландия;175.77;57.74;73.58;79.14;96.35
Норвегия;173.57;66.65;75.50;106.09;68.68
Эстония;173.56;76.62;72.83;56.45;64.28
Оман;172.08;79.74;58.42;50.18;67.22
Швеция;171.40;52.80;68.80;79.17;74.92
Словения;168.20;78.21;65.28;59.38;77.56
США;166.98;52.26;69.03;71.92;77.28
Испания;164.48;66.87;78.80;59.09;93.18
Япония;162.32;78.05;80.68;87.77;85.27
Португалия;161.91;70.11;71.93;52.88;97.72
Литва;160.02;66.16;70.97;47.66;69.86
Канада;159.99;58.81;71.80;70.08;56.75
Великобритания;158.99;54.74;74.93;71.03;88.04
Чехия;156.33;74.69;75.37;49.18;77.13
Хорватия;156.10;75.09;64.23;56.36;89.69
ОАЭ;156.03;84.65;68.02;61.67;45.23
Катар;154.58;87.71;73.00;64.23;36.03
Бельгия;150.89;55.83;75.20;78.52;86.03
Ирландия;150.89;54.98;52.78;83.11;89.13
Франция;150.73;50.80;80.99;80.62;89.94
Словакия;149.68;70.26;60.89;49.08;78.13
Латвия;147.59;62.79;62.18;52.87;74.70
Саудовская Аравия;147.37;74.07;60.71;49.95;45.98
Израиль;144.14;68.79;73.76;86.63;93.78
Кипр;144.06;68.03;52.71;64.05;93.34
Сингапур;143.82;67.02;70.88;85.59;57.45
Тайвань;138.82;84.76;86.39;65.25;81.60
Италия;138.63;55.63;66.77;73.11;91.48
Венгрия;134.01;65.19;51.64;42.75;79.48
Польша;132.65;70.68;58.25;42.04;75.90
Южная Африка;132.19;22.93;63.89;41.69;95.25
Румыния;131.71;71.65;56.09;38.50;77.69
Пуэрто-Рико;130.77;36.65;55.57;69.51;71.25
Южная Корея;130.02;73.14;82.34;81.20;68.39
Греция;129.86;55.86;56.96;60.96;94.18
Болгария;126.34;61.88;56.13;40.92;82.76
Турция;125.97;60.47;70.71;31.48;93.26
Босния и Герцеговина;125.71;56.99;53.48;38.56;80.48
Уругвай;124.63;48.78;67.66;51.09;98.04
Коста-Рика;121.65;44.66;62.92;50.64;99.48
Мексика;120.29;45.00;72.51;35.05;86.63
Грузия;118.87;77.38;53.83;28.05;88.53
Эквадор;118.76;45.59;68.81;40.08;94.51
Малайзия;116.94;42.11;69.59;39.51;59.11
Сербия;116.24;61.74;51.62;39.19;83.23
Иордания;114.04;59.27;65.38;52.17;89.05
Кувейт;113.98;65.96;58.97;49.40;20.22
Аргентина;110.50;36.69;68.58;37.87;98.28
Панама;110.32;54.15;60.43;54.07;67.84
Северная Македония;108.47;61.41;56.49;34.15;76.30
Украина;107.35;51.72;53.43;29.21;70.77
Беларусь;107.35;39.73;44.44;30.69;64.37
Пакистан;105.14;56.14;60.52;21.59;73.63
Бразилия;104.75;32.15;57.33;31.82;92.39
Индия;104.52;55.28;66.25;25.16;65.30
Марокко;104.42;50.90;45.81;36.85;90.04
Китай;103.15;69.83;66.38;42.54;80.15
Азербайджан;102.88;68.34;44.02;30.90;91.40
Россия;101.67;59.87;58.44;33.17;38.46
Колумбия;101.33;44.23;66.72;31.00;88.30
Таиланд;100.29;60.62;78.08;49.32;69.45
Чили;99.90;47.92;63.72;49.33;90.21
Гонконг;99.34;78.27;66.34;79.94;83.64
Казахстан;96.42;45.98;60.09;29.76;39.78
Ливан;94.47;53.04;63.29;75.88;94.74
Индонезия;90.10;53.77;60.49;37.44;68.48
Вьетнам;88.38;53.91;58.28;38.05;71.09
Египет;86.31;53.21;46.21;30.10;91.98
Перу;83.30;33.39;56.38;36.26;97.69
Шри-Ланка;79.78;58.81;72.63;31.28;59.11
Филиппины;78.39;57.84;67.09;40.65;61.03
Кения;75.77;38.60;55.83;36.30;99.79
Бангладеш;65.27;35.78;42.70;33.31;72.91
Иран;64.73;50.81;52.25;41.34;70.99
Нигерия;52.00;36.14;48.89;29.74;60.75
;;;;;
;;;;;
